open,high,low,close,volume,num_trades,taker_base_vol,taker_quote_vol,month,day,year
97800.90,97948.40,97800.80,97884.20,567.060,11178,332.740,32572338.83960,12,11,2024
97884.20,97957.40,97884.20,97951.20,496.457,9094,278.913,27315659.05040,12,11,2024
97951.10,98100.00,97950.00,98051.90,1144.895,18949,687.284,67370580.91730,12,11,2024
98052.00,98199.90,98041.20,98199.90,1016.059,14437,661.316,64883039.52380,12,11,2024
98199.80,98499.90,98086.30,98460.20,2712.106,35609,1977.111,194404233.37320,12,11,2024
98460.10,98460.20,97997.30,97997.30,1180.177,22589,395.590,38865730.70040,12,11,2024
97997.30,98161.70,97862.00,98099.70,1111.349,20205,554.152,54327028.59530,12,11,2024
98099.80,98222.60,98072.80,98114.10,383.441,8818,214.194,21021479.83460,12,11,2024
98114.10,98177.90,98006.20,98006.20,459.067,10073,153.298,15040223.95210,12,11,2024
98006.20,98090.20,97951.80,98069.30,412.152,8907,138.689,13595135.93950,12,11,2024
98069.40,98078.20,97872.60,97888.00,429.134,10836,125.173,12262379.27730,12,11,2024
97887.90,97937.60,97807.70,97825.90,546.813,13161,262.846,25725347.98030,12,11,2024
97825.90,97958.50,97810.00,97880.10,332.850,10380,188.109,18413807.36450,12,11,2024
97880.00,97908.90,97826.60,97826.70,264.225,6311,101.554,9939293.76300,12,11,2024
97826.80,97946.10,97757.50,97885.80,463.269,10993,221.100,21636129.04160,12,11,2024
97885.90,97926.50,97787.90,97872.60,390.576,8409,144.432,14135536.99460,12,11,2024
97872.60,97892.20,97766.90,97835.90,307.632,7170,136.570,13359421.91650,12,11,2024
97835.90,97961.90,97776.80,97961.90,254.590,7912,164.319,16082668.50440,12,11,2024
97961.90,98036.70,97902.00,97930.10,385.887,8797,198.441,19443047.59910,12,11,2024
97930.20,98004.70,97930.20,98001.70,206.203,6501,136.432,13365080.39640,12,11,2024
98001.70,98043.60,97945.60,97962.60,272.725,7151,144.487,14160500.86510,12,11,2024
97962.60,98102.60,97945.00,98090.10,325.194,7359,206.235,20221815.76770,12,11,2024
98090.00,98090.10,98024.30,98026.40,129.682,4270,70.480,6910379.38980,12,11,2024
98026.40,98077.80,97850.00,97997.00,385.602,8849,144.693,14177204.66860,12,11,2024
97997.00,98025.60,97942.20,98021.40,191.289,5641,86.365,8462929.57780,12,11,2024
98021.50,98023.60,97980.00,97991.40,150.126,4314,85.849,8412736.06900,12,11,2024
97991.50,98011.60,97904.30,97960.90,208.923,5672,68.237,6684901.34790,12,11,2024
97961.00,98000.00,97850.10,97939.20,404.069,7644,127.907,12527985.80880,12,11,2024
97939.20,98023.80,97904.20,98006.80,234.161,5495,119.263,11684815.48720,12,11,2024
98006.80,98140.60,97989.70,98140.20,551.671,6945,460.361,45143035.06790,12,11,2024
98140.20,98298.00,98140.20,98234.70,764.966,12841,466.193,45789967.99780,12,11,2024
98234.70,98250.00,98175.10,98203.00,343.377,6724,112.603,11058512.94100,12,11,2024
98203.10,98300.00,98139.50,98297.30,388.983,8160,192.793,18940387.47260,12,11,2024
98297.20,98299.90,98225.30,98244.80,216.184,6094,78.790,7743332.72350,12,11,2024
98244.80,98276.60,98244.70,98255.10,128.460,4691,55.443,5447958.42770,12,11,2024
98255.20,98440.00,98255.10,98345.50,875.524,13948,507.228,49892727.76450,12,11,2024
98345.50,98386.70,98260.40,98369.60,431.578,9544,151.199,14870287.24000,12,11,2024
98369.50,98445.50,98361.00,98445.40,419.330,8702,248.003,24404243.84090,12,11,2024
98445.40,98445.50,98335.70,98335.70,356.989,8344,113.582,11175160.99070,12,11,2024
98335.70,98405.80,98185.10,98208.80,803.659,14409,199.744,19632941.24420,12,11,2024
98208.90,98208.90,98143.20,98165.10,447.656,9121,215.156,21124777.94300,12,11,2024
98164.80,98248.00,98122.40,98139.20,411.100,8316,198.873,19527173.17940,12,11,2024
98139.10,98328.00,98139.10,98327.90,370.513,9039,233.167,22910339.51360,12,11,2024
98327.90,98347.90,98260.00,98289.70,258.450,6217,148.337,14583374.17760,12,11,2024
98289.70,98406.50,98289.70,98391.60,500.248,10088,294.611,28980804.81100,12,11,2024
98391.50,98423.00,98330.70,98345.40,443.892,8119,189.093,18603423.28100,12,11,2024
98345.40,98402.90,98226.00,98258.90,355.858,7874,78.130,7681273.61980,12,11,2024
98258.90,98390.50,98199.90,98350.50,693.806,9522,334.542,32887996.09420,12,11,2024
98350.50,98382.30,98324.60,98335.50,297.235,6203,109.293,10749999.45880,12,11,2024
98335.60,98382.20,98273.00,98339.80,238.328,5911,76.923,7564145.73580,12,11,2024
98339.90,98382.30,98325.80,98377.30,294.448,5459,164.554,16186887.45020,12,11,2024
98377.40,98498.00,98352.70,98467.90,618.812,9524,410.735,40434744.11600,12,11,2024
98467.80,98488.20,98307.60,98307.60,450.888,8712,157.463,15496617.18480,12,11,2024
98307.60,98372.10,98250.00,98250.60,343.205,8546,136.310,13399324.32480,12,11,2024
98250.50,98269.40,98150.00,98199.50,483.789,9745,149.157,14646905.96300,12,11,2024
98199.50,98281.50,98199.40,98221.90,176.588,5140,92.153,9053512.28210,12,11,2024
98221.90,98350.00,98111.00,98194.90,474.510,9802,220.780,21691036.65130,12,11,2024
98194.90,98305.10,98194.90,98243.70,350.287,7600,181.429,17828771.07060,12,11,2024
98243.70,98273.00,98163.50,98205.40,198.152,5467,62.160,6105713.84260,12,11,2024
98205.50,98205.50,98047.50,98175.80,503.871,11243,172.058,16885141.06010,12,11,2024
98175.70,98391.50,98118.00,98356.60,412.185,9352,262.477,25795304.45040,12,11,2024
98356.60,98372.20,98276.20,98372.10,363.997,7557,178.209,17524189.31280,12,11,2024
98372.00,98868.70,98366.10,98773.50,5303.097,76287,3122.629,308235681.51390,12,11,2024
98773.50,98846.10,98500.00,98530.00,1666.560,28311,488.835,48254760.40070,12,11,2024
98530.00,98694.00,98147.90,98630.80,2310.760,40887,1092.389,107569381.42910,12,11,2024
98630.70,98690.20,98435.10,98597.30,900.503,19848,354.688,34968383.19440,12,11,2024
98597.30,98627.20,98403.00,98591.20,982.738,17941,542.377,53427866.94440,12,11,2024
98591.20,98749.90,98540.00,98724.80,914.711,14475,581.251,57351092.62450,12,11,2024
98724.90,98858.70,98621.30,98631.30,1171.953,19844,660.519,65254185.36870,12,11,2024
98631.40,98828.40,98559.80,98592.70,683.094,15687,302.540,29862125.01210,12,11,2024
98592.70,98622.10,98445.50,98562.70,904.639,14703,447.663,44095942.10410,12,11,2024
98562.80,98562.80,98330.00,98495.70,629.869,13110,270.154,26594853.89820,12,11,2024
98495.80,98776.20,98453.70,98740.00,763.324,14134,467.144,46090090.17020,12,11,2024
98739.90,98823.40,98606.30,98659.50,762.616,14015,337.566,33335201.51750,12,11,2024
98659.60,98823.50,98450.80,98823.20,1113.992,22873,525.589,51861436.24460,12,11,2024
98823.10,98956.20,98730.00,98758.30,1815.610,27573,1113.301,110099689.92030,12,11,2024
98758.30,98965.70,98717.20,98953.40,877.687,19250,474.251,46875050.09630,12,11,2024
98953.50,99349.90,98927.10,99180.90,3954.332,54750,2608.255,258651780.66410,12,11,2024
99180.90,99430.00,99180.90,99313.80,1955.872,33795,1048.630,104181869.51460,12,11,2024
99314.40,99546.90,99123.90,99500.00,2438.171,38463,1397.189,138878266.94080,12,11,2024
99500.00,99571.10,99382.00,99432.90,1652.781,31421,824.188,82001339.03310,12,11,2024
99432.90,99817.50,99432.90,99721.40,3013.602,45314,2114.670,210805083.54530,12,11,2024
99721.40,99930.00,99663.00,99855.10,2247.132,37605,1295.616,129374441.13410,12,11,2024
99855.00,100000.00,99690.00,99987.40,2662.315,46847,1526.611,152540811.03870,12,11,2024
99987.50,100533.80,99974.00,100485.50,5672.711,92681,3393.751,340258463.25730,12,11,2024
100485.50,100798.60,100365.00,100481.40,4974.073,69044,2767.649,278365799.28200,12,11,2024
100481.30,100543.00,100200.00,100496.00,3361.677,54425,1426.206,143127511.27110,12,11,2024
100497.60,100570.00,100180.60,100299.90,1542.283,35793,681.297,68373946.29840,12,11,2024
100299.90,100400.00,100069.00,100239.80,1618.018,33511,771.337,77294417.02210,12,11,2024
100239.80,100386.00,100179.10,100261.70,1075.696,25446,525.561,52703366.64650,12,11,2024
100261.70,100524.50,100261.70,100375.30,1044.458,23734,519.031,52125870.09660,12,11,2024
100375.20,100496.40,100306.70,100352.70,857.390,17750,346.460,34780863.24470,12,11,2024
100352.70,100580.00,100352.70,100514.60,1065.425,20613,536.565,53918477.10490,12,11,2024
100514.60,100723.60,100507.70,100703.20,1138.069,21878,690.629,69493172.12500,12,11,2024
100703.20,100703.20,100431.90,100583.80,910.990,21039,409.109,41130860.97490,12,11,2024
100583.70,100764.50,100512.60,100720.80,923.536,18953,520.468,52371395.25950,12,11,2024
100720.70,101055.00,100702.40,100997.50,3295.858,46333,2029.555,204784646.01080,12,11,2024
100997.50,101080.70,100880.00,101026.70,1497.276,28709,748.320,75580332.11880,12,11,2024
101028.80,101059.80,100674.50,100788.90,1545.011,29578,619.961,62513805.73710,12,11,2024
100788.90,100866.00,100546.70,100668.90,1162.197,22799,523.090,52675858.21390,12,11,2024
100668.90,100669.30,100357.00,100510.60,1304.407,26819,571.660,57424339.42560,12,11,2024
100510.50,100530.00,100369.90,100428.40,737.944,17746,353.554,35515804.72900,12,11,2024
100428.40,100591.70,100287.00,100585.60,1531.509,23654,778.206,78145088.04160,12,11,2024
100585.60,100699.70,100507.10,100568.50,915.723,14637,352.729,35490365.25720,12,11,2024
100568.40,100700.00,100542.80,100660.30,664.800,15042,406.601,40910665.46250,12,11,2024
100660.30,100874.80,100660.20,100811.50,967.571,16982,563.702,56811441.29600,12,11,2024
100811.50,100966.60,100764.80,100806.10,745.795,15463,418.851,42252616.31800,12,11,2024
100806.10,100843.80,100644.90,100678.60,534.755,14003,180.999,18236575.77030,12,11,2024
100678.70,100786.80,100620.80,100645.20,461.818,13298,211.175,21266892.13850,12,11,2024
100645.30,100658.80,100501.00,100501.10,500.619,12236,192.248,19335856.41610,12,11,2024
100501.00,100561.80,100366.80,100418.60,890.523,17887,380.362,38215088.36860,12,11,2024
100418.60,100507.60,100303.00,100306.20,813.746,14433,322.554,32379512.11580,12,11,2024
100306.20,100440.70,100202.40,100239.20,762.116,14509,332.029,33311844.54020,12,11,2024
100239.10,100382.30,100218.90,100353.50,719.309,14255,465.627,46702924.77820,12,11,2024
100353.50,100461.50,100226.00,100226.00,744.538,14241,324.555,32563149.18410,12,11,2024
100226.00,100234.10,99617.60,99763.20,4680.314,49707,1471.298,147018263.96910,12,11,2024
99763.20,99930.00,99583.40,99850.30,2007.863,37022,1120.510,111789617.96430,12,11,2024
99850.30,100155.40,99847.10,99921.40,1812.745,27726,1120.438,112081352.93100,12,11,2024
99921.30,99966.20,99679.20,99852.50,901.172,18329,428.301,42758229.15980,12,11,2024
99852.50,100120.00,99758.90,100103.50,719.225,16843,474.764,47467483.04100,12,11,2024
